x,y,z
-23.6541,55.0566,5.410828
-24.2001,53.6019,5.718933
-23.4552,53.6604,3.940552
-22.8273,55.7859,1.577148
-21.201,59.5299,0.8400269
-20.9163,61.632,0.3330688
-21.6963,60.7389,-1.160645
-22.0356,58.668,-0.7316284
-21.6183,57.3459,0.8829346
-22.0941,56.3982,2.439026
-23.6346,55.5012,4.334473
-23.0925,54.8772,3.784546
-21.6495,55.7079,0.9297485
-20.6745,56.8701,-0.9851685
-20.928,59.5533,-1.301025
-20.1597,60.8832,-1.238647
-20.3001,59.3622,1.062378
-20.4639,56.2578,3.191772
-21.7275,53.2509,3.304871
-22.8936,51.4101,2.871948
-22.7337,52.7478,1.854065
-21.2712,54.7212,1.249573
-20.1909,57.2991,1.202759
-20.7759,59.1087,-0.1271362
-20.6823,59.3934,-0.3806763
-20.6706,59.3193,-0.2246704
-21.786,57.9387,1.893066
-22.8156,55.3647,4.77124
-23.268,53.9685,3.246338
-22.956,53.5278,1.698059
-21.1971,55.3959,1.959351
-20.9046,58.4106,1.928162
-21.3336,59.6001,0.6879272
-21.708,58.6173,0.668457
-21.669,57.2406,-0.34552
-21.7197,57.2757,1.68634
-22.9521,57.8685,3.971741
-23.4279,56.6868,5.071533
-23.2641,55.5285,3.753357
-22.7493,56.2266,1.698059
-22.3788,58.9059,1.807251
-23.2017,60.306,1.647339
-23.5605,59.8653,0.6255493
-22.2111,58.7187,1.475769
-21.9654,58.083,1.88916
-22.9521,57.9075,3.359436
-23.9037,57.4785,2.946045
-22.9365,57.1353,2.049072
-22.0941,57.1197,0.3525391
-21.942,57.0105,-1.347839
-21.5169,58.5471,-1.41803
-20.4483,59.5221,0.4071655
-20.5458,58.1766,1.331421
-21.9693,56.6439,0.2901611
-22.3281,55.1424,0.8595581
-21.7704,55.6221,0.7737427
-21.4272,56.3085,0.5475464
-21.5091,57.0612,0.5553589
-22.5465,56.7336,-0.2987671
-21.5637,57.6813,-2.790833
-19.5669,60.1305,-0.8252563
-18.7284,60.8442,-0.1622314
-21.5325,58.7148,0.1887207
-22.9014,56.0277,0.399353
-21.7743,54.2727,1.081848
-20.8656,56.0004,1.230042
-21.201,58.239,1.760437
-21.279,59.3895,2.559937
-21.2595,58.2936,1.506958
-21.1737,56.3826,0.7269287
-23.2095,55.1658,0.3174438
-22.566,56.5347,1.058472
-22.1331,58.551,1.76825
-22.6635,58.6407,2.372742
-23.1081,57.6501,0.8712769
-21.9888,58.4574,0.9960327
-21.3297,58.2039,1.877441
-22.0941,57.9192,0.5904541
-23.6268,57.4941,0.1224365
-22.6323,56.5581,-1.141174
-21.4311,57.6501,-1.644226
-21.6417,59.3115,-0.01794434
-21.8445,58.8669,0.2277222
-22.2072,57.7983,-0.5795288
-20.6706,56.7258,-2.104431
-20.1597,56.5113,-2.069336
-21.3843,58.5588,-1.074829
-22.0122,58.8396,-0.1973267
-20.7408,57.6657,0.7113647
-20.7447,56.1642,1.148132
-21.7158,55.4193,0.6567383
-22.8936,55.1151,0.4968262
-22.683,56.4879,0.2784424
-19.8399,57.5331,-0.03356934
-20.1792,57.966,-0.4430542
-22.1409,57.7866,-1.433655
-21.4428,56.3319,-2.260437
-20.1207,56.6634,-1.086548
-20.1207,57.4785,1.319763
-21.9069,57.9738,0.984375
-22.5855,56.6166,0.1731567
-21.5481,55.3179,0.208252
-20.3976,56.133,0.5592651
-20.5497,57.0105,2.056824
-21.864,56.679,2.115356
-23.0301,55.0956,1.627869
-21.6534,54.7641,0.7815552
-21.0567,56.1681,2.318176
-21.786,57.7398,4.00293
-22.5894,57.8607,3.008423
-22.0356,57.2952,2.489746
-20.2377,58.1649,0.9765625
-20.5302,58.9527,2.825134
-22.7259,58.2351,3.433533
-24.1533,55.5675,2.166077
-22.566,54.4482,1.698059
-21.1308,56.5191,2.754944
-22.5972,58.5237,4.077026
-23.6073,58.9839,3.889832
-22.1838,58.1415,1.873535
-20.5653,58.5861,-0.08422852
-20.8032,58.9215,-0.2870483
-22.0239,59.8185,0.7503662
-22.3671,59.4246,2.021729
-21.123,57.2328,3.562256
-21.1698,55.4583,1.904724
-22.605,54.9474,1.347046
-22.1526,55.4115,2.271362
-20.8461,56.8194,1.549866
-20.2455,58.3092,1.764343
-21.357,58.8162,1.491333
-21.747,58.6953,0.2784424
-20.7759,57.8334,0.8751221
-20.4249,56.952,2.571655
-21.8523,57.1665,3.429626
-22.7493,57.0729,3.339966
